timestamp,sensorName,valueX,valueY,valueZ
1624967469167,Accelerometer,9.398148,-1.1578217,2.6097717
1624967469172,Accelerometer,9.010284,-1.19133,2.662445
1624967469175,Accelerometer,9.089294,-1.2583771,2.6839905
1624967469179,Accelerometer,9.266464,-1.3373871,2.4828796
1624967469183,Accelerometer,9.290405,-1.42836,2.8204498
1624967469188,Accelerometer,9.228149,-1.3469543,3.239441
1624967469192,Accelerometer,9.357437,-1.3517456,2.7869415
1624967469195,Accelerometer,9.084503,-1.2583771,2.8180695
1624967469200,Accelerometer,8.9001465,-1.0979614,2.7007446
1624967469204,Accelerometer,9.125198,-1.155426,1.8340454
1624967469207,Accelerometer,9.1922455,-1.2727356,1.5706787
1624967469211,Accelerometer,9.357437,-1.3469543,1.8292542
1624967469216,Accelerometer,9.656708,-1.3325958,2.133316
1624967469220,Accelerometer,9.7812195,-1.3804779,2.5666656
1624967469223,Accelerometer,9.35025,-1.1817627,2.9880524
1624967469227,Accelerometer,9.106049,-1.0476837,2.9329834
1624967469232,Accelerometer,8.866623,-1.11232,2.6289215
1624967469235,Accelerometer,8.651154,-1.0883789,2.4541473
1624967469239,Accelerometer,8.967178,-1.2607727,2.2171173
1624967469243,Accelerometer,9.2760315,-1.3780823,1.927414
1624967469247,Accelerometer,9.6471405,-1.373291,1.6999664
1624967469252,Accelerometer,9.92247,-1.3780823,1.6377258
1624967469255,Accelerometer,9.766846,-1.2727356,1.8771362
1624967469259,Accelerometer,9.450821,-1.1865387,2.401474
1624967469263,Accelerometer,9.03183,-1.1266937,3.0000153
1624967469267,Accelerometer,8.746918,-1.1434479,3.2226868
1624967469271,Accelerometer,8.6870575,-1.2487946,2.9377747
1624967469275,Accelerometer,8.806778,-1.3014679,2.3799286
1624967469279,Accelerometer,9.230545,-1.3541412,1.8412323
1624967469283,Accelerometer,9.630386,-1.3900452,1.5659027
1624967469287,Accelerometer,9.774033,-1.3756866,1.6496887
1624967469291,Accelerometer,9.774033,-1.294281,2.1261444
1624967469295,Accelerometer,9.3550415,-1.215271,2.6959534
1624967469299,Accelerometer,9.039017,-1.1793671,3.0431213
1624967469303,Accelerometer,8.785233,-1.1386566,3.0598755
1624967469302,Gyroscope,0.0054779053,-0.021865845,0.012145996
1624967469307,Accelerometer,8.799591,-1.2057037,2.7438354
1624967469307,Gyroscope,0.03211975,-0.039978027,0.029190063
1624967469311,Accelerometer,8.936066,-1.2751312,2.2937317
1624967469311,Gyroscope,0.033187866,-0.033584595,0.035583496
1624967469314,Accelerometer,9.266464,-1.318222,1.8843231
1624967469315,Gyroscope,0.011871338,-0.012283325,0.018539429
1624967469319,Accelerometer,9.630386,-1.3469543,1.6832123
1624967469319,Gyroscope,-0.019012451,0.011154175,-0.010223389
