timestamp,sensorName,valueX,valueY,valueZ
1625666311930,Accelerometer,9.623199,-1.1410522,0.34484863
1625666311933,Accelerometer,9.611221,-1.1793671,0.3639984
1625666311937,Accelerometer,9.618408,-1.19133,0.3999176
1625666311942,Accelerometer,9.613617,-1.1937256,0.40470886
1625666311946,Accelerometer,9.60405,-1.1745758,0.3711853
1625666311950,Accelerometer,9.580093,-1.1625977,0.3137207
1625666311954,Accelerometer,9.548981,-1.1649933,0.2802124
1625666311958,Accelerometer,9.546585,-1.1721802,0.28500366
1625666311963,Accelerometer,9.565735,-1.2128754,0.29696655
1625666311967,Accelerometer,9.584885,-1.2368164,0.30415344
1625666311971,Accelerometer,9.611221,-1.3254089,0.28738403
1625666311975,Accelerometer,9.663895,-1.4379425,0.21556091
1625666311979,Accelerometer,9.829102,-1.3397675,0.09346008
1625666311984,Accelerometer,9.702209,-1.1027527,0.1030426
1625666311988,Accelerometer,9.467575,-0.97106934,0.3089447
1625666311992,Accelerometer,9.3550415,-1.100357,0.44540405
1625666311996,Accelerometer,9.4891205,-1.373291,0.31611633
1625666312000,Accelerometer,9.821915,-1.4762421,0.055160522
1625666312005,Accelerometer,9.893738,-1.4068146,-0.052581787
1625666312009,Accelerometer,9.831497,-1.1721802,0.11500549
1625666312012,Accelerometer,9.560944,-0.94473267,0.38316345
1625666312016,Accelerometer,9.319138,-0.8537445,0.48371887
1625666312020,Accelerometer,9.299973,-0.95191956,0.31851196
1625666312024,Accelerometer,9.414902,-1.1721802,0.07670593
1625666312029,Accelerometer,9.618408,-1.3780823,0.055160522
1625666312033,Accelerometer,9.826706,-1.5001831,0.21316528
1625666312037,Accelerometer,9.984726,-1.3996277,0.31134033
1625666312040,Accelerometer,9.7859955,-1.1075287,0.35203552
1625666312041,Gyroscope,-0.008285522,-0.011291504,-0.041275024
1625666312045,Accelerometer,9.498703,-0.90641785,0.31851196
1625666312045,Gyroscope,-0.0050964355,-0.018753052,-0.012512207
1625666312049,Accelerometer,9.326309,-0.8992462,0.23233032
1625666312049,Gyroscope,0.0012969971,-0.013412476,0.019439697
1625666312052,Accelerometer,9.328705,-1.0404968,0.19641113
1625666312053,Gyroscope,0.004501343,-0.0027618408,0.033294678
1625666312057,Accelerometer,9.510666,-1.2655487,0.18682861
1625666312057,Gyroscope,0.005554199,0.008956909,0.024765015
1625666312061,Accelerometer,9.697418,-1.3996277,0.19880676
1625666312061,Gyroscope,0.0066223145,0.010009766,0.0013427734
1625666312065,Accelerometer,9.845856,-1.3876648,0.22035217
1625666312065,Gyroscope,0.0034332275,0.007888794,-0.025299072
1625666312069,Accelerometer,9.855438,-1.2416077,0.23472595
1625666312069,Gyroscope,-0.0050964355,0.0057525635,-0.039138794
1625666312073,Accelerometer,9.692627,-1.0668335,0.26106262
1625666312073,Gyroscope,-0.011489868,-0.003829956,-0.02848816
1625666312077,Accelerometer,9.469971,-0.9590912,0.3017578
1625666312077,Gyroscope,-0.011489868,-0.015548706,-0.0061187744
1625666312082,Accelerometer,9.395752,-0.97106934,0.29936218
1625666312081,Gyroscope,-0.002960205,-0.014480591,0.015182495
1625666312085,Accelerometer,9.448425,-1.0955658,0.23950195
1625666312085,Gyroscope,0.0076904297,-0.0017089844,0.021575928
1625666312090,Accelerometer,9.560944,-1.234436,0.1317749
1625666312089,Gyroscope,0.010894775,0.0046844482,0.01411438
1625666312093,Accelerometer,9.695023,-1.3014679,0.11500549
1625666312093,Gyroscope,0.0034332275,0.007888794,-0.0029296875
1625666312097,Accelerometer,9.7859955,-1.2751312,0.19161987
1625666312098,Gyroscope,-0.002960205,0.014282227,-0.019973755
1625666312101,Accelerometer,9.7453,-1.1721802,0.2802124
1625666312101,Gyroscope,-0.006164551,0.011077881,-0.024230957
1625666312106,Accelerometer,9.60643,-1.0788116,0.337677
1625666312105,Gyroscope,-0.002960205,-0.0027618408,-0.0146484375
1625666312109,Accelerometer,9.491516,-1.0333099,0.33288574
1625666312109,Gyroscope,0.00022888184,-0.012359619,0.0013427734
1625666312113,Accelerometer,9.481934,-1.0835876,0.258667
1625666312114,Gyroscope,0.0034332275,-0.009155273,0.009857178
1625666312117,Accelerometer,9.541794,-1.1865387,0.17486572
