timestamp,sensorName,valueX,valueY,valueZ
1625928065619,Accelerometer,9.477142,-1.1051483,1.436615
1625928065623,Accelerometer,9.537003,-1.0596466,1.4940643
1625928065627,Accelerometer,9.460388,-1.0285339,1.4461823
1625928065631,Accelerometer,9.395752,-1.0357056,1.3001404
1625928065635,Accelerometer,9.402924,-1.0668335,1.120575
1625928065639,Accelerometer,9.457993,-1.1338654,0.9817047
1625928065643,Accelerometer,9.534607,-1.1889343,0.92663574
1625928065648,Accelerometer,9.608826,-1.2057037,0.97213745
1625928065652,Accelerometer,9.625595,-1.1673889,1.0990295
1625928065655,Accelerometer,9.589676,-1.1051483,1.2618256
1625928065659,Accelerometer,9.510666,-1.0237427,1.4054871
1625928065663,Accelerometer,9.448425,-0.9950104,1.441391
1625928065667,Accelerometer,9.405319,-0.9950104,1.3480225
1625928065671,Accelerometer,9.4340515,-1.0357056,1.168457
1625928065676,Accelerometer,9.498703,-1.0812073,0.96495056
1625928065680,Accelerometer,9.582489,-1.1171112,0.81411743
1625928065683,Accelerometer,9.625595,-1.1195068,0.7710266
1625928065687,Accelerometer,9.627991,-1.0931702,0.8667908
1625928065691,Accelerometer,9.584885,-1.0261383,1.0583191
1625928065695,Accelerometer,9.534607,-0.9758606,1.2690125
1625928065699,Accelerometer,9.465179,-0.94233704,1.3983002
1625928065704,Accelerometer,9.4340515,-0.95191956,1.3911133
1625928065707,Accelerometer,9.453201,-0.9758606,1.2714081
1625928065711,Accelerometer,9.498703,-1.0069733,1.1062012
1625928065715,Accelerometer,9.546585,-1.021347,0.931427
1625928065719,Accelerometer,9.584885,-1.0141602,0.773407
1625928065723,Accelerometer,9.608826,-0.99980164,0.8021393
1625928065727,Accelerometer,9.558548,-0.9471283,0.9170685
1625928065731,Accelerometer,9.534607,-0.9303589,1.0702972
1625928065736,Accelerometer,9.510666,-0.93515015,1.1253662
1625928065739,Accelerometer,9.501099,-0.9590912,1.2953491
1625928065743,Accelerometer,9.517853,-0.96388245,1.441391
1625928065747,Accelerometer,9.58728,-0.9686737,1.3528137
1625928065751,Accelerometer,9.584885,-0.9758606,1.1708527
1625928065755,Accelerometer,9.534607,-0.9758606,0.9888916
1625928065759,Accelerometer,9.50827,-0.99261475,0.8619995
1625928065763,Accelerometer,9.50827,-1.0189514,0.86439514
1625928065763,Gyroscope,-0.0029449463,0.013549805,0.0064697266
1625928065767,Accelerometer,9.553757,-1.0476837,0.9697418
1625928065767,Gyroscope,-0.0072021484,0.023132324,0.0032653809
1625928065770,Accelerometer,9.577713,-1.052475,1.0679016
1625928065771,Gyroscope,-0.006134033,0.026321411,7.6293945e-05
1625928065775,Accelerometer,9.572922,-1.0644379,1.1636658
1625928065775,Gyroscope,-0.0029449463,0.017807007,-0.004196167
1625928065779,Accelerometer,9.553757,-1.0237427,1.2331085
1625928065779,Gyroscope,0.0002593994,0.0050201416,-0.0052490234
1625928065783,Accelerometer,9.548981,-1.0117645,1.2666168
1625928065783,Gyroscope,0.002380371,-0.009887695,-0.0052490234
1625928065787,Accelerometer,9.481934,-0.9830322,1.2546539
1625928065787,Gyroscope,0.0077056885,-0.021606445,0.0011444092
1625928065791,Accelerometer,9.472366,-0.9782562,1.2067719
1625928065791,Gyroscope,0.015167236,-0.024810791,0.004333496
1625928065795,Accelerometer,9.469971,-1.0021973,1.0990295
1625928065794,Gyroscope,0.018356323,-0.015213013,0.0064697266
1625928065799,Accelerometer,9.493912,-1.0309143,0.9481964
1625928065799,Gyroscope,0.015167236,0.00076293945,0.0064697266
1625928065803,Accelerometer,9.522644,-1.0716248,0.8883362
1625928065803,Gyroscope,0.0045166016,0.011413574,0.0054016113
1625928065807,Accelerometer,9.556152,-1.0955658,0.96495056
1625928065807,Gyroscope,-0.006134033,0.016738892,7.6293945e-05
1625928065810,Accelerometer,9.58728,-1.100357,1.0918427
1625928065811,Gyroscope,-0.011459351,0.019927979,-0.004196167
1625928065815,Accelerometer,9.580093,-1.0596466,1.2211304
1625928065815,Gyroscope,-0.009338379,0.013549805,-0.0063171387
1625928065819,Accelerometer,9.534607,-1.0237427,1.3456268
1625928065819,Gyroscope,-0.001876831,0.0018310547,-0.0063171387
1625928065823,Accelerometer,9.453201,-1.0261383,1.3911133
1625928065823,Gyroscope,0.005584717,-0.0077667236,-0.0020599365
1625928065826,Accelerometer,9.345474,-1.0500793,1.3887177
1625928065827,Gyroscope,0.010910034,-0.009887695,0.007522583
1625928065831,Accelerometer,9.345474,-1.0548706,1.2977448
1625928065831,Gyroscope,0.010910034,-0.010955811,0.008590698
1625928065835,Accelerometer,9.498703,-1.11232,1.2163391
1625928065835,Gyroscope,0.0066375732,-0.018417358,0.0011444092
