timestamp,sensorName,valueX,valueY,valueZ
1625669692499,Accelerometer,9.735718,-1.5361023,-0.009490967
1625669692502,Accelerometer,9.814728,-1.5911713,0.13415527
1625669692506,Accelerometer,9.728546,-1.5959473,0.32330322
1625669692511,Accelerometer,9.537003,-1.5480652,0.65130615
1625669692515,Accelerometer,9.493912,-1.5384979,0.86439514
1625669692518,Accelerometer,9.496307,-1.4858246,0.7710266
1625669692522,Accelerometer,9.510666,-1.4235687,0.62257385
1625669692526,Accelerometer,9.477142,-1.4451141,0.6465149
1625669692531,Accelerometer,9.431656,-1.4379425,0.8811493
1625669692534,Accelerometer,9.510666,-1.4092102,1.0272064
1625669692538,Accelerometer,9.546585,-1.3876648,0.98410034
1625669692542,Accelerometer,9.513062,-1.3445587,0.8619995
1625669692547,Accelerometer,9.520248,-1.3086548,0.69918823
1625669692551,Accelerometer,9.529816,-1.3397675,0.6848297
1625669692554,Accelerometer,9.515457,-1.3852692,0.773407
1625669692558,Accelerometer,9.486725,-1.4068146,0.9242554
1625669692562,Accelerometer,9.534607,-1.42836,0.83566284
1625669692567,Accelerometer,9.60643,-1.397232,0.6321564
1625669692571,Accelerometer,9.649536,-1.2966766,0.44300842
1625669692574,Accelerometer,9.632767,-1.1937256,0.4573822
1625669692578,Accelerometer,9.479538,-1.0859833,0.6249695
1625669692582,Accelerometer,9.436447,-1.0812073,0.63934326
1625669692587,Accelerometer,9.438843,-1.1290894,0.68003845
1625669692591,Accelerometer,9.501099,-1.131485,0.6489105
1625669692594,Accelerometer,9.673477,-1.1386566,0.5914612
1625669692598,Accelerometer,9.7453,-1.100357,0.5268097
1625669692598,Gyroscope,0.038589478,0.015350342,-0.0039978027
1625669692603,Accelerometer,9.702209,-1.0093689,0.5842743
1625669692603,Gyroscope,0.0289917,0.015350342,-0.0039978027
1625669692606,Accelerometer,9.654327,-0.95669556,0.6608887
1625669692606,Gyroscope,0.0289917,0.02067566,-0.00079345703
1625669692610,Accelerometer,9.599258,-0.94473267,0.8021393
1625669692611,Gyroscope,0.03112793,0.028121948,0.0045318604
1625669692615,Accelerometer,9.601654,-0.9255829,0.7901764
1625669692614,Gyroscope,0.032196045,0.031326294,0.0077209473
1625669692618,Accelerometer,9.6471405,-0.9662781,0.81411743
1625669692618,Gyroscope,0.03112793,0.026000977,0.0034637451
1625669692622,Accelerometer,9.630386,-0.9878235,0.87158203
1625669692623,Gyroscope,0.026870728,0.02067566,0.0023956299
1625669692626,Accelerometer,9.632767,-0.95191956,0.90031433
1625669692626,Gyroscope,0.022598267,0.026000977,-0.0018615723
1625669692630,Accelerometer,9.704605,-0.9303589,0.93382263
1625669692630,Gyroscope,0.01727295,0.033447266,-0.0061187744
1625669692635,Accelerometer,9.659103,-0.9040222,0.9984741
1625669692634,Gyroscope,0.00982666,0.033447266,-0.0071868896
1625669692638,Accelerometer,9.596863,-0.8824768,1.041565
1625669692639,Gyroscope,0.0034332275,0.023864746,-0.0039978027
1625669692642,Accelerometer,9.565735,-0.9471283,1.1062012
1625669692642,Gyroscope,0.0034332275,0.007888794,-0.00079345703
1625669692646,Accelerometer,9.517853,-0.99980164,1.1397247
1625669692646,Gyroscope,0.011947632,-0.00064086914,0.0013427734
1625669692651,Accelerometer,9.572922,-1.0189514,1.0367737
1625669692650,Gyroscope,0.013015747,0.008956909,-0.00079345703
1625669692654,Accelerometer,9.608826,-1.1027527,0.8907318
1625669692654,Gyroscope,0.005554199,0.019607544,-0.00932312
1625669692658,Accelerometer,9.460388,-1.0740204,0.93382263
1625669692658,Gyroscope,-0.0050964355,0.012145996,-0.0029296875
1625669692662,Accelerometer,9.601654,-1.0979614,1.0272064
1625669692662,Gyroscope,-0.006164551,0.007888794,-0.010375977
1625669692666,Accelerometer,9.479538,-1.1266937,1.1373291
1625669692666,Gyroscope,0.00022888184,0.015350342,-0.0039978027
1625669692670,Accelerometer,9.608826,-1.0333099,1.0774841
1625669692670,Gyroscope,0.0034332275,0.028121948,-0.0018615723
1625669692674,Accelerometer,9.690231,-1.1027527,1.1325378
1625669692674,Gyroscope,-0.0040283203,0.031326294,-0.00932312
1625669692678,Accelerometer,9.527435,-1.1051483,1.0798798
1625669692678,Gyroscope,-0.014678955,0.031326294,-0.00079345703
1625669692682,Accelerometer,9.34787,-1.2176666,1.089447
1625669692682,Gyroscope,-0.023208618,0.017471313,0.0023956299
1625669692686,Accelerometer,9.232941,-1.215271,1.199585
1625669692686,Gyroscope,-0.016815186,-0.008087158,0.0023956299
1625669692690,Accelerometer,9.522644,-1.2511902,1.1469116
1625669692690,Gyroscope,-0.0008239746,-0.012359619,-0.005050659
1625669692694,Accelerometer,9.596863,-1.2799225,0.92185974
1625669692694,Gyroscope,0.0066223145,-0.0070343018,0.0002746582
1625669692698,Accelerometer,9.613617,-1.2894897,0.63694763
1625669692698,Gyroscope,-0.002960205,0.008956909,0.0013427734
1625669692702,Accelerometer,9.515457,-1.4475098,0.5579376
1625669692702,Gyroscope,-0.018936157,0.014282227,0.0034637451
1625669692705,Accelerometer,9.378983,-1.4068146,0.5746918
1625669692706,Gyroscope,-0.030654907,0.011077881,0.009857178
1625669692710,Accelerometer,9.570526,-1.4642792,0.71595764
1625669692710,Gyroscope,-0.02746582,0.0014953613,-0.011444092
1625669692714,Accelerometer,9.570526,-1.3900452,0.73750305
1625669692714,Gyroscope,-0.017868042,-0.0017089844,-0.012512207
1625669692718,Accelerometer,9.596863,-1.2751312,0.66807556
1625669692717,Gyroscope,-0.016815186,-0.00064086914,-0.015716553
1625669692722,Accelerometer,9.577713,-1.2128754,0.6321564
1625669692722,Gyroscope,-0.023208618,-0.00064086914,-0.013580322
1625669692726,Accelerometer,9.448425,-1.2176666,0.59384155
1625669692726,Gyroscope,-0.033859253,0.0036315918,-0.00079345703
1625669692729,Accelerometer,9.388565,-1.2799225,0.634552
1625669692730,Gyroscope,-0.038116455,-0.0059661865,0.0055999756
