id,attr_time,attr_lat,attr_lng
88910,1532764683000,48.8605,2.29158
88911,1532764684000,48.8605,2.29158
88912,1532764685000,48.8605,2.29158
88913,1532764686000,48.8605,2.29158
88914,1532764687000,48.8605,2.29157
88915,1532764688000,48.8605,2.29158
88916,1532764689000,48.8605,2.29157
88917,1532764690000,48.8605,2.29157
88918,1532764691000,48.8605,2.29157
88919,1532764692000,48.8605,2.29157
88920,1532764693000,48.8605,2.29157
88921,1532764694000,48.8605,2.29157
88922,1532764695000,48.8605,2.29157
88923,1532764696000,48.8605,2.29156
88924,1532764697000,48.8605,2.29156
88925,1532764698000,48.8605,2.29156
88926,1532764699000,48.8605,2.29156
88927,1532764700000,48.8605,2.29156
88928,1532764701000,48.8605,2.29155
88929,1532764702000,48.8605,2.29155
88930,1532764703000,48.8605,2.29155
88931,1532764704000,48.8605,2.29155
88932,1532764705000,48.8605,2.29155
88933,1532764706000,48.8605,2.29155
88934,1532764707000,48.8605,2.29155
88935,1532764708000,48.8605,2.29155
88936,1532764709000,48.8605,2.29155
88937,1532764710000,48.8605,2.29154
88938,1532764711000,48.8605,2.29154
88939,1532764712000,48.8605,2.29154
88940,1532764713000,48.8605,2.29155
88941,1532764714000,48.8605,2.29156
88942,1532764715000,48.8605,2.29158
88943,1532764716000,48.8605,2.29157
88944,1532764717000,48.8605,2.29157
88945,1532764718000,48.8605,2.29157
88946,1532764719000,48.8605,2.29157
88947,1532764720000,48.8605,2.29157
88948,1532764721000,48.8605,2.29157
88949,1532764722000,48.8605,2.29157
88950,1532764723000,48.8605,2.29157
88951,1532764724000,48.8605,2.29157
88952,1532764725000,48.8605,2.29157
88953,1532764726000,48.8605,2.29157
88954,1532764727000,48.8605,2.29157
88955,1532764728000,48.8605,2.29157
88956,1532764729000,48.8605,2.29157
88957,1532764730000,48.8606,2.29158
88958,1532764731000,48.8606,2.29158
88959,1532764732000,48.8605,2.29158
88960,1532764733000,48.8605,2.29158
88961,1532764734000,48.8606,2.29159
88962,1532764735000,48.8606,2.29159
88963,1532764736000,48.8606,2.29159
88964,1532764737000,48.8606,2.29159
88965,1532764738000,48.8606,2.29159
88966,1532764739000,48.8606,2.29159
88967,1532764740000,48.8606,2.2916
88968,1532764741000,48.8606,2.29162
88969,1532764742000,48.8606,2.29163
88970,1532764743000,48.8606,2.29164
88971,1532764744000,48.8606,2.29165
88972,1532764745000,48.8606,2.29166
88973,1532764746000,48.8606,2.29167
88974,1532764747000,48.8606,2.29168
88975,1532764748000,48.8606,2.29168
88976,1532764749000,48.8606,2.29168
88977,1532764750000,48.8606,2.29168
88978,1532764751000,48.8606,2.29168
88979,1532764752000,48.8607,2.29168
88980,1532764753000,48.8607,2.29168
88981,1532764754000,48.8607,2.29168
88982,1532764755000,48.8607,2.29168
88983,1532764756000,48.8607,2.29168
88984,1532764757000,48.8607,2.29169
88985,1532764758000,48.8607,2.29169
88986,1532764759000,48.8607,2.29169
88987,1532764760000,48.8607,2.29169
88988,1532764761000,48.8607,2.29169
88989,1532764762000,48.8607,2.29169
88990,1532764763000,48.8607,2.29169
88991,1532764764000,48.8607,2.29169
88992,1532764765000,48.8607,2.29169
88993,1532764766000,48.8607,2.29169
88994,1532764767000,48.8607,2.29169
88995,1532764768000,48.8607,2.29169
88996,1532764769000,48.8607,2.2917
88997,1532764770000,48.8607,2.29171
88998,1532764771000,48.8607,2.29171
88999,1532764772000,48.8607,2.29172
89000,1532764773000,48.8607,2.29173
89001,1532764774000,48.8607,2.29173
89002,1532764775000,48.8607,2.29173
89003,1532764776000,48.8607,2.29173
89004,1532764777000,48.8607,2.29173
89005,1532764778000,48.8607,2.29173
89006,1532764779000,48.8607,2.29173
89007,1532764780000,48.8607,2.29173
89008,1532764781000,48.8607,2.29173
89009,1532764782000,48.8607,2.29173
89010,1532764783000,48.8607,2.29172
89011,1532764784000,48.8607,2.29172
89012,1532764785000,48.8607,2.29171
89013,1532764786000,48.8607,2.29171
89014,1532764787000,48.8607,2.29171
89015,1532764788000,48.8607,2.29169
89016,1532764789000,48.8607,2.29169
89017,1532764790000,48.8607,2.29169
89018,1532764791000,48.8607,2.29168
89019,1532764792000,48.8607,2.29167
89020,1532764793000,48.8608,2.29166
89021,1532764794000,48.8608,2.29165
89022,1532764795000,48.8608,2.29164
89023,1532764796000,48.8608,2.29163
89024,1532764797000,48.8608,2.29162
89025,1532764798000,48.8608,2.29162
89026,1532764799000,48.8608,2.29161
89027,1532764800000,48.8608,2.2916
89028,1532764801000,48.8608,2.29159
89029,1532764802000,48.8608,2.29159
89030,1532764803000,48.8608,2.29159
89031,1532764804000,48.8608,2.29159
89032,1532764805000,48.8608,2.2916
89033,1532764806000,48.8608,2.2916
89034,1532764807000,48.8608,2.29161
89035,1532764808000,48.8608,2.29161
89036,1532764809000,48.8608,2.29162
89037,1532764810000,48.8608,2.29162
89038,1532764811000,48.8608,2.29162
89039,1532764812000,48.8608,2.29162
89040,1532764813000,48.8608,2.29162
89041,1532764814000,48.8608,2.29162
89042,1532764815000,48.8608,2.29162
89043,1532764816000,48.8608,2.29163
89044,1532764817000,48.8608,2.29165
89045,1532764818000,48.8608,2.29166
89046,1532764819000,48.8608,2.29166
89047,1532764820000,48.8608,2.29167
89048,1532764821000,48.8609,2.29168
89049,1532764822000,48.8609,2.29168
89050,1532764823000,48.8609,2.29168
89051,1532764824000,48.8609,2.29167
89052,1532764825000,48.8609,2.29166
89053,1532764826000,48.8609,2.29165
89054,1532764827000,48.8609,2.29165
89055,1532764828000,48.8609,2.29165
89056,1532764829000,48.8609,2.29165
89057,1532764830000,48.8609,2.29165
89058,1532764831000,48.8609,2.29166
89059,1532764832000,48.8609,2.29167
89060,1532764833000,48.8609,2.29167
89061,1532764834000,48.8609,2.29167
89062,1532764835000,48.8609,2.29167
89063,1532764836000,48.8609,2.29168
89064,1532764837000,48.8609,2.29168
89065,1532764838000,48.8609,2.29168
89066,1532764839000,48.8609,2.29167
89067,1532764840000,48.8609,2.29167
